rdfID,rdfLabel1,rdfLabel2,rdfComment,rdf-class1,rdf-class2
bf,BF,Berufsfeuerwehr,,Hilfsorganisation,
btf,BtF,Betriebsfeuerwehr,,Hilfsorganisation,
betrfw,BetrFW,Betriebsfeuerwehr,,Hilfsorganisation,
ff,FF,Freiwillige Feuerwehr,,Hilfsorganisation,
fw,Fw,Feuerwehr,,Hilfsorganisation,
jf,JF,Jugendfeuerwehr,,Hilfsorganisation,
pf,PF,Pflichtfeuerwehr,,Hilfsorganisation,
wf1,WF,Werkfeuerwehr,,Hilfsorganisation,
agbb,AGBB,Arbeitsgemeinschaft Betrieblicher Brandschutz,,Institution,
agbf,AGBF,Arbeitsgemeinschaft der Leiter der Berufsfeuerwehren,,Institution,
ags,AGS,Ausschuß für Gefahrstoffe,,Institution,
bvrd,BVRD,Berufsverband für den Rettungsdienst,,Institution,
ctif,CTIF,Internationales technisches Komitee für vorbeugenden Brandschutz und Feuerlöschwesen,,Institution,
dfm,DFM,Deutsches Feuerwehrmuseum,,Institution,
dfv,DFV,Deutscher Feuerwehrverband,,Institution,
djf,DJF,Deutsche Jugendfeuerwehr,,Institution,
ffg,FFG,Fachgemeinschaft Feuerwehrfahrzeuge und -geräte,,Institution,
fnfw,FNFW,Fachnormausschuß Feuerwehrwesen,,Institution,
fuk,FUK,Feuerwehrunfallkasse,,Institution,
kfv,KFV,Kreisfeuerwehrverband,,Institution,
lfv,LFV,Landesfeuerwehrverband,,Institution,
tuis,TUIS,Transport- Unfall- Informations- und Hilfeleistungssystem der chemischen Industrie,,Institution,
uafeu,UAFeu,"Unterausschuß ""Feuerwehrangelegenheiten"" der IMK",,Institution,
vdrs,VDRS,Verband deutscher Rettungssanitäter,,Institution,
vfdb,vfdb,Vereinigung zur Förderung des Deutschen Brandschutzes,,Institution,
wfv,WFV,Werkfeuerwehrverband,,Institution,
asb,ASB,Arbeiter-Samariter-Bund,,Hilfsorganisation,
bgs,BGS,Bundesgrenzschutz (Rettungshubschrauber),,Hilfsorganisation,
brk,BRK,Bayrisches Rotes Kreuz,,Hilfsorganisation,
bvs,BVS,Bundesverband für Selbstschutz,,Institution,
bzs,BZS,Bundesverband für Zivilschutz,,Institution,
dgzrs,DGzRS,Deutsche Gesellschaft zur Rettung Schifbrüchiger,,Institution,
dlrg,DLRG,Deutsche Lebens-Rettungs-Gesellschaft,,Hilfsorganisation,
drf,DRF,Deutsche Rettungsflugwacht,,Institution,
drk,DRK,Deutsches Rotes Kreuz,,Institution,
juh,JUH,Johanniter-Unfall-Hilfe,,Hilfsorganisation,
kathd,KatHD,Katastrophen-Hilfsdienst,,Hilfsorganisation,
kats,KatS,Katastrophenschutz,,Hilfsorganisation,
mhd,MHD,Malteser-Hilfsdienst,,Hilfsorganisation,
pol,Pol,Polizei,,Hilfsorganisation,
sar,SAR,Flugrettungsdienst der BRD bzw US-Army (Search And Rescue),,Hilfsorganisation,
srd,SRD,Spezieller Rettungsd. (zur Rettung von Personen aus großen Höhen),,Hilfsorganisation,
thw,THW,Technisches Hilfswerk,,Hilfsorganisation,
wd,WD,Warndienst,,Institution,
ww2,WW,Wasserwacht im DRK,,Hilfsorganisation,
zb1,ZB,Ziviler Bevölkerungsschutz,,Hilfsorganisation,
bdir,Bdir,Branddirektion,,Einrichtung,
fw1,FW,Feuerwache,,Einrichtung,
fh,FH,Feuerwehrhaus,,Einrichtung,
jfaz,JFAZ,Jugendfeuerwehrausbildungszentrum,,Einrichtung,
